station_name,departures,arrivals,net_flow
King St W / Jameson Ave - SMART,7702,7901,-199
King St W / Joe Shuster Way,14307,14589,-282
King St W / Jordan St,12426,12537,-111
King St W / Portland St - SMART,38061,38623,-562
King St W / Spadina Ave,10426,10670,-244
King St W / Stafford St,10839,10894,-55
King St W / Tecumseth St,25585,25841,-256
King St W / University Ave,7793,7588,205
King St W / Wilson Park Blvd,2822,2903,-81
King St W / York St,8604,8854,-250
King St W / York St (2),7108,7151,-43
King's Mill Park,1858,1954,-96
Kingston Rd / Beech Ave,2528,2603,-75
Kingston Rd / Glen Everest Rd,604,629,-25
Kingston Rd / Markham Rd,23,22,1
Kingston Rd / Ridgemoor Ave,443,490,-47
Kingston Rd / Scarborough Golf Club Rd,170,174,-4
Kingston Rd / Warden Ave,783,817,-34
Lake Shore Blvd E / Knox Ave,1298,1482,-184
Lake Shore Blvd E / Leslie St,6789,7098,-309
Lake Shore Blvd W / Bathurst St,1030,1791,-761
Lake Shore Blvd W / Brow Dr,906,944,-38
Lake Shore Blvd W / Colborne Lodge Dr,8916,9490,-574
Lake Shore Blvd W / Ellis Ave,8335,8752,-417
Lake Shore Blvd W / Legion Rd,3326,3485,-159
Lake Shore Blvd W / Long Branch Ave,798,850,-52
Lake Shore Blvd W / Ontario Dr,11343,10914,429
Lake Shore Blvd W / Seventeenth St,826,866,-40
Lake Shore Blvd W / The Boulevard Club,9268,9565,-297
Lake Shore Blvd W / Thirty Ninth Street,573,618,-45
Lake Shore Blvd W / Twenty Fourth St,1150,1245,-95
Lake Shore Blvd W / Windermere Ave,6154,6836,-682
Langford Ave / Danforth Ave - SMART,5449,4471,978
Lansdowne Ave / Seaforth Ave,3283,3376,-93
Lansdowne Ave / Whytock Ave,3253,3270,-17
Lansdowne Subway Station,4975,4676,299
Lascelles Blvd / Eglinton Ave W,4122,2687,1435
Lawrence Ave E / Don Mills Trail,477,493,-16
Lawrence Ave W / Marlee Ave,25,18,7
Lawton Blvd / Yonge St,5188,3160,2028
Leslie St / Commissioners St,6648,7369,-721
Leslie Subway Station,135,160,-25
Liberty St / Fraser Ave Green P,10960,11320,-360
Lillian St / Soudan Ave - SMART,907,858,49
Lindylou Rd / Lanyard Rd,97,92,5
Ling Rd / Morningside Ave,289,294,-5
Lisgar Park,23053,23224,-171
Lisgar St / Dundas St W - SMART,10717,10963,-246
Lisgar St / Queen St W - SMART,11118,11695,-577
Little Norway Park,12970,13608,-638
Livingston Rd (Highland Creek Trail),329,331,-2
Livingston Rd / Guildwood Pkwy,416,445,-29
Logan Ave / Bain Ave,5167,5289,-122
Logan Ave / Gerrard St E,10024,10528,-504
Lonsdale Rd / Spadina Rd,1732,1741,-9
Lower Don River Trail and Taylor Creek Trail,1944,1941,3
Lower Jarvis St / Queens Quay E,28155,28753,-598
Lower Jarvis St / The Esplanade,12366,13017,-651
Lower Sherbourne St / The Esplanade,15734,16617,-883
Lower Simcoe St / Bremner Blvd,24858,25099,-241
Lower Spadina Ave / Lake Shore Blvd W,13862,14469,-607
Lumsden Ave / Cedarvale Ave,1965,1939,26
Lumsden Ave / Eastdale Ave,1117,1121,-4
Lundy Ave / _tienne Br_l_ Park,1410,1496,-86
Luttrell Ave / Danforth Ave,1268,1253,15
Lynn Williams St / East Liberty St,21294,21415,-121
Lynn Williams St / Pirandello St,13200,13147,53
Mabelle Park,669,697,-28
Macpherson Ave / Spadina Rd,7363,7174,189
Madison Ave / Bloor St W,9450,8214,1236
Mallaby Park,382,381,1
Mallon Ave / Jones Ave -SMART,4952,5319,-367
Marie Curtis Park,2145,2226,-81
Marilyn Bell Park Tennis Court,18042,18168,-126
Markham Rd / The Meadoway,188,190,-2
Marlee Ave / York Beltline Trail,1196,1286,-90
Martin Goodman Trail (Marilyn Bell Park),8814,8641,173
Mary McCormick Rec Centre (Sheridan Ave),5134,5324,-190
Maud St / Adelaide St W - SMART,20366,20846,-480
McCowan Rd / Trudelle St,177,186,-9
McGill St / Church St,19997,19907,90
McRae Dr / Laird Dr - SMART,1325,1360,-35
Merton St / Mount Pleasant Rd,2313,2318,-5
Metro Hall Plaza,12215,12264,-49
Midland Ave / Kingston Rd,392,380,12
Mill St / Cherry St,10545,11127,-582
Mill St / Parliament St,21624,21930,-306
Mill St / Tannery Rd,6807,7933,-1126
Millwood Rd / Southvale Dr,1261,1310,-49
Moore Park,1261,1239,22
Morningside Park (Highland Creek Trail),1175,1156,19
Morse St / Eastern Ave,3749,4371,-622
Mortimer Ave / Carlaw Ave SMART,2375,2321,54
Mortimer Ave / Coxwell Ave,3470,3107,363
Moss Park,11147,11364,-217
Mount Pleasant Rd / Davisville Ave - SMART,3402,2541,861
Mutual St / Shuter St,25321,25290,31
Nassau St / Bellevue Ave,21433,21705,-272
Navy Wharf Crt / Bremner Blvd,15601,15793,-192
Neil McLellan Park,3389,3331,58
Nelson St / Duncan St,26758,31175,-4417
Niagara St / King St W - SMART,12871,13051,-180
Niagara St / Portland St,13640,13984,-344
Niagara St / Queen St W,5351,5454,-103
Niagara St / Richmond St W,17291,21170,-3879
Niagara St / Tecumseth St,9156,9240,-84
Noble St / Queen St W,6183,6496,-313
Northern Dancer Blvd / Lake Shore Blvd E,11030,14624,-3594
O'Connor Dr / Curity Ave,617,661,-44
OCAD University,8148,8102,46
Oak St / Sackville St,8168,8125,43
Oak St / Sumach St,9486,9280,206
Oakdale Community Centre,99,109,-10
Ontario Place Blvd / Lake Shore Blvd W,14309,15488,-1179
Ontario St / Adelaide St E -SMART,19719,19920,-201
Opposite 1103 Leslie St,414,414,0
Orchard Park,2250,2646,-396
Orde St / McCaul St,10458,10146,312
