station,line,total_delays,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_infrastructure,pct_operations,pct_safety,pct_equipment,pct_transportation
KENNEDY BD STATION [PL,BD,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
UNION STATION- TO ST A,YU,1,0,4,4.0,4.0,0.0,0.0,100.0,0.0,0.0
KIPLING STATION - [PLA,BD,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
KIPLING STATION- PLATF,BD,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
FINCH TAIL #1,YU,1,0,4,4.0,4.0,0.0,0.0,100.0,0.0,0.0
FINCH TAIL #2,YU,1,0,4,4.0,4.0,0.0,0.0,100.0,0.0,0.0
CHRISTIE STATION,YU,1,0,4,4.0,4.0,0.0,0.0,100.0,0.0,0.0
DON MILLS,SHP,1,0,4,4.0,4.0,0.0,0.0,0.0,0.0,100.0
KING,YU,1,0,4,4.0,4.0,100.0,0.0,0.0,0.0,0.0
KIPLING STATION,YU,1,0,4,4.0,4.0,0.0,0.0,0.0,100.0,0.0
KILPING,BD,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
KIPLING STATION [KIPLI,BD,1,0,4,4.0,4.0,0.0,0.0,100.0,0.0,0.0
VMC STATION PLAT 2,YU,1,0,4,4.0,4.0,100.0,0.0,0.0,0.0,0.0
YORK UNIVERSITY STATIO,BD,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
UNION TOWARD ST ANDREW,YU,1,0,4,4.0,4.0,100.0,0.0,0.0,0.0,0.0
VMC PL 1,YU,1,0,4,4.0,4.0,0.0,0.0,0.0,0.0,100.0
UNION TO KING STATION,YU,1,0,4,4.0,4.0,100.0,0.0,0.0,0.0,0.0
UNION STATION- ST ANDR,YU,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
OSSINGTON CENTRE TRACK,BD,1,0,4,4.0,4.0,0.0,100.0,0.0,0.0,0.0
- WARDEN STAT,BD,1,0,3,3.0,3.0,0.0,0.0,0.0,0.0,100.0
KIPLING PLAT #2,BD,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
KENNEDY,BD,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
EGLINTON STATION,BD,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
FINCH PLATFORM,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
BAYVIEW STATION - DEPA,SHP,1,0,3,3.0,3.0,0.0,0.0,0.0,0.0,100.0
LINE 1 - YONGE UNIVERS,YU,1,0,3,3.0,3.0,100.0,0.0,0.0,0.0,0.0
OLD MILL STATION,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
SHEPPARD STATION,SHP,1,0,3,3.0,3.0,0.0,0.0,0.0,100.0,0.0
UNION STATION - KING,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
SPADINA YUS STATION TO,YU,1,0,3,3.0,3.0,100.0,0.0,0.0,0.0,0.0
SHEPPARD STATION - APP,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
UNION STATION TO FINCH,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
VICTORIA PARK STATION,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
VAUGHAN METRO CENTRE,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
VMC STATION PL 1,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
VMC STATION - PLAT 1,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
VMC STATION - PLATFORM,BD,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
WARDEN,BD,1,0,3,3.0,3.0,0.0,0.0,0.0,0.0,100.0
VMC STATION- PLAT 1,YU,1,0,3,3.0,3.0,0.0,0.0,100.0,0.0,0.0
VMC STATION- PLAT 2,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
WILSON STATION,BD,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
VMC STATION - PLAT 2,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
WILSO STATION,YU,1,0,3,3.0,3.0,0.0,100.0,0.0,0.0,0.0
VMC STATION PL2,YU,1,0,2,2.0,2.0,100.0,0.0,0.0,0.0,0.0
