model,predictor,coefficient,std_err,t_value,p_value
binary_all_trips,total_snow_cm,-357.1979988350277,115.71561439452191,-3.0868608415904313,0.0020228226906206072
binary_near_subway,Intercept,367.78369020902585,35.47249398581533,10.368137361756814,3.4620709620042113e-25
binary_near_subway,C(day_of_week)[T.1],105.21138119963587,25.48341732088535,4.128621364820179,3.6494479594857846e-05
binary_near_subway,C(day_of_week)[T.2],128.80848049807952,26.90278505357967,4.787923638446508,1.6851574089375114e-06
binary_near_subway,C(day_of_week)[T.3],74.58114614230041,33.2559343216688,2.242641731875957,0.024919926865816802
binary_near_subway,C(day_of_week)[T.4],36.867786342665525,23.64000620017668,1.55955062069273,0.11886611330450722
binary_near_subway,C(day_of_week)[T.5],4.038066652006449,33.4036929758982,0.12088683292952188,0.9037806714812326
binary_near_subway,C(day_of_week)[T.6],-14.645356472021756,26.004374922533426,-0.5631881756685179,0.5733067537186967
binary_near_subway,C(month)[T.2],-48.79712243092458,44.7863769824038,-1.0895527997296268,0.2759101844819316
binary_near_subway,C(month)[T.3],36.520164800534545,36.710829830765135,0.9948063001814574,0.319830481493212
binary_near_subway,C(month)[T.4],181.26633766606378,53.03972603374558,3.4175579555357487,0.0006318563973479743
binary_near_subway,C(month)[T.5],348.98008402417844,73.17231183464155,4.769291488463848,1.8487498928332588e-06
binary_near_subway,C(month)[T.6],667.1265722802659,102.90941910284883,6.482658031657259,9.012060766461862e-11
binary_near_subway,C(month)[T.7],837.1298988520612,104.94823623628203,7.9765980722852206,1.5042165374180977e-15
binary_near_subway,C(month)[T.8],833.6491050997604,91.38773531850693,9.122111432068042,7.367472158479686e-20
binary_near_subway,C(month)[T.9],843.4684249947105,82.76265195105755,10.191413700632785,2.165913558041339e-24
binary_near_subway,C(month)[T.10],625.8431688060942,74.28701741619376,8.424664101128217,3.617866225693219e-17
binary_near_subway,C(month)[T.11],293.76713945992753,55.40184501104742,5.302479356081893,1.1424038880926866e-07
binary_near_subway,C(month)[T.12],19.539040561143068,53.99052151694348,0.36189760743487653,0.7174285479265861
binary_near_subway,is_disruption_day,6.946602415519008,18.802138432328164,0.3694581039556174,0.7117862957807835
binary_near_subway,temp_mean_c,19.988984826463756,3.2746117397868675,6.104230490471755,1.0329713036141481e-09
binary_near_subway,total_rain_mm,-12.07490603249327,2.8255862205318,-4.2734162365148665,1.9250062070486663e-05
binary_near_subway,total_snow_cm,-17.314320802042406,5.205488704390182,-3.3261662420744345,0.0008804939730620695
strict_all_trips,Intercept,7767.771897835581,759.6412176506719,10.22557980971441,1.5231371791950773e-24
strict_all_trips,C(day_of_week)[T.1],1900.5252670327125,561.8806693294521,3.382435756867731,0.000718460800737472
strict_all_trips,C(day_of_week)[T.2],2165.1135720682933,605.9673519340033,3.572987166978756,0.00035293206345327874
strict_all_trips,C(day_of_week)[T.3],1364.9378565989086,719.0893471393165,1.898147792105263,0.05767661595741298
strict_all_trips,C(day_of_week)[T.4],1850.3635526302298,566.3580513662062,3.267126772836832,0.0010864501711352749
strict_all_trips,C(day_of_week)[T.5],1273.4994232958156,771.2973292862418,1.6511134875500104,0.09871540375510651
strict_all_trips,C(day_of_week)[T.6],224.23606943700332,621.125703360429,0.36101560155027557,0.7180877841374254
strict_all_trips,C(month)[T.2],-1552.1994142439983,1062.3550144715264,-1.4610929426601778,0.14398993672317317
strict_all_trips,C(month)[T.3],513.1075021262874,822.0137160323574,0.624207956775857,0.5324910220736692
strict_all_trips,C(month)[T.4],3728.950109443397,1163.9446017144116,3.2037178607563503,0.0013566535363274065
strict_all_trips,C(month)[T.5],8240.200969388721,1666.3776668232604,4.9449780403608194,7.615244829757161e-07
strict_all_trips,C(month)[T.6],14963.636828348135,2186.8429181749466,6.842575067456697,7.778212162595423e-12
strict_all_trips,C(month)[T.7],19449.880169798675,2357.577020551296,8.249944752706536,1.5846776926482707e-16
strict_all_trips,C(month)[T.8],19534.0683662351,1989.8307251818567,9.81694981338165,9.517987497341223e-23
strict_all_trips,C(month)[T.9],19093.777945538266,1820.6260272015866,10.48747939459405,9.862433211421379e-26
strict_all_trips,C(month)[T.10],14164.43825729964,1605.175657325398,8.824229418542853,1.102160742581891e-18
strict_all_trips,C(month)[T.11],6729.952551051955,1158.139069055788,5.8110055440395225,6.209870682057786e-09
strict_all_trips,C(month)[T.12],282.983713214559,1198.0541445130964,0.23620277473316278,0.8132753265055923
strict_all_trips,is_strict_disruption,810.956561388582,432.2090430959236,1.8763063252441017,0.06061322899757185
strict_all_trips,temp_mean_c,439.8617493493704,74.11167929834346,5.935120530445222,2.936297060197898e-09
strict_all_trips,total_rain_mm,-259.30925666195367,62.9754888818464,-4.11762197112063,3.828019405259832e-05
strict_all_trips,total_snow_cm,-378.9408285696618,118.2315033381328,-3.2050749408634416,0.0013502731930421256
strict_near_subway,Intercept,361.3350062517929,32.6633973185148,11.062382847940166,1.9095598082719858e-28
